taxa,density,group,habitat
ephemeroptera,0.00111,1,pool
ephemeroptera,0.0021,2,pool
ephemeroptera,0.0056,3,pool
gastropoda,0.00296,1,pool
gastropoda,0.0082,2,pool
gastropoda,0.0028,3,pool
platyhelminthes,0.00074,1,pool
platyhelminthes,0.012,2,pool
platyhelminthes,0.0063,3,pool
ephemeroptera,0,1,riffle
ephemeroptera,0.011,2,riffle
ephemeroptera,0,3,riffle
gastropoda,0,1,riffle
gastropoda,0.0067,2,riffle
gastropoda,0,3,riffle
platyhelminthes,0.06439,1,riffle
platyhelminthes,0.0022,2,riffle
platyhelminthes,0.0242,3,riffle